CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
443296108,09/30/2016,22:45:00,09/30/2016,22:50:00,09/30/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE-HOUSE,,,1017798,213038,40.75136123,-73.878918851,"(40.75136123, -73.878918851)"
183004160,09/30/2016,22:00:00,09/30/2016,23:01:00,09/30/2016,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,QUEENS,103,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1042115,191592,40.692371607,-73.791337737,"(40.692371607, -73.791337737)"
928978147,09/30/2016,20:20:00,09/30/2016,20:45:00,09/30/2016,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,OPPOSITE OF,STREET,,,994549,173637,40.643272298,-73.962890162,"(40.643272298, -73.962890162)"
395476783,09/30/2016,20:20:00,09/30/2016,20:30:00,09/30/2016,105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,FRONT OF,STREET,,,1001951,187437,40.681138546,-73.936181675,"(40.681138546, -73.936181675)"
993305720,09/30/2016,20:15:00,,,09/30/2016,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,FRONT OF,STREET,,,1052401,190729,40.689929651,-73.754254885,"(40.689929651, -73.754254885)"
255452601,09/30/2016,19:45:00,09/30/2016,20:00:00,09/30/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,FRONT OF,RESIDENCE-HOUSE,,,1021872,216333,40.760388762,-73.864196416,"(40.760388762, -73.864196416)"
157418139,09/30/2016,19:37:00,09/30/2016,19:47:00,09/30/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,FRONT OF,STREET,,,1007374,171501,40.637385239,-73.916684069,"(40.637385239, -73.916684069)"
398131829,09/30/2016,18:45:00,09/30/2016,18:50:00,09/30/2016,105,ROBBERY,387,"ROBBERY,CLOTHING",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,,STREET,,,997370,169588,40.632154928,-73.952732883,"(40.632154928, -73.952732883)"
311494933,09/30/2016,18:20:00,09/30/2016,18:30:00,09/30/2016,105,ROBBERY,384,"ROBBERY,POCKETBOOK/CARRIED BAG",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,,STREET,,,1002608,193735,40.698423767,-73.933795746,"(40.698423767, -73.933795746)"
836175847,09/30/2016,17:34:00,09/30/2016,17:42:00,09/30/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,9,INSIDE,RESIDENCE - PUBLIC HOUSING,,,991204,201754,40.720450333,-73.97491448,"(40.720450333, -73.97491448)"
